제목,내용
[WCK] T1 ‘코어’ 정용훈 “우리의 플레이 아쉬웠지만 플레이오프 위해 강해...,끊은 T1의 ‘코어’ 정용훈이 승리 소감과 앞으로의 계획 등에 대해 이야기했다. 4일 서울 종로구에 위치한 롤파크에서 진행된 ‘2022 와일드 리프트 챔피언스 코리아(이하 WCK)’ 7주 1일차 2경기에서 T1이 팀 크레센트에 2 대...
"[Oh!쎈 롤챔스] 성장 거듭한 ‘케리아’ 류민석, T1 우승 ‘일등공신’ 됐다", ‘역천괴.(역대급 천재 괴물)’ T1의 서포터 ‘케리아’ 류민석이 지난 2020시즌 데뷔 당시 관계자들에게... 지난 2일 경기 고양시 일산 킨텍스 제1전시장 5홀에서 열린 2022 LCK 스프링 결승전 T1-젠지의 맞대결에서...
"시작된 혈투 LCK 스프링 결승, T1 vs 젠지 봄의 제왕은[SS킨텍스in]","T1 단체.  제공 | LCK 최후의 결전이 시작됐다. T1의 전승 불패 LCK ‘V10’ 달성이냐, 젠지가 준우승 상처 딛고 왕좌를 차지하느냐에 전 세계 LoL e스포츠팬들의 관심이 쏠리고 있다. 명실상부 세계 최고의 LoL..."
"[R6] 코리안 오픈 8일차, 스타라이즈 킬러 등극한 T1...담원은 샌드박스에 설...","T1이 ‘무서운 도전자’ 스타라이즈를 첫 대결에 이어 재대결에서도 제압했으며, 담원 기아(이하 담원)는... 4경기로 별장에서 진행된 T1과 스타라이즈의 대결은 7-2로 T1이 다시 한 번 승리를 가져갔다. T1의 선공으로..."
[포토] 우승 소감 밝히는 T1 김지환 코치,T1은 2일 경기도 고양시 일산 킨텍스 제1전시장에서 열린 ‘2022 LoL 챔피언스 코리아(LCK)’ 스프링... 시즌에 이은 열 번째 우승을 달성했다. 우승 직후 감정이 북받친 T1 김지환 코치가 눈물을 닦고 있다.
"[WCK] '비디지' 김동영, ""오랜만에 연승 뜻 깊다""","팀 GP를 꺾고 플레이오프 진출에 희망을 나타낸 T1 '비디지' 김동영이 ""오랜만에 연승이라서 뜻 깊다""라고 밝혔다. T1은 5일 오후 서울 종로구 그랑서울 롤파크 LCK 아레나에서 벌어진 와일드리프트 챔피언스 코리아(WCK)..."
"T1 vs 젠지, LCK 결승서 맞대결","10회 우승 도전 T1 vs 완전체 구성한 젠지, 4월 2일 일산 킨텍스 승부 정규 리그를 1위와 2위로 마친 T1과 젠지가 ‘2022 리그오브레전드(LoL) 챔피언스 코리아(LCK) 스프링’의 우승컵을 두고 맞대결을 펼친다. 28일..."
"팬심 돌아오지 않은 KBO개막전, LCK와 비교[김민규의 e시각]",지난 2일 일산 킨텍스에서 열린 T1과 젠지의 LCK 스프링 결승전에 관중이 꽉 차 있는 모습.  제공 | LCK 지난... 올해 봄의 제왕에 오른 팀은 정규시즌 18전 전승불패의 새 역사를 쓴 T1이다. 그야말로 LCK 결승전의...
악동에서 ‘한체원’으로… ‘구마유시’의 성장기 [LCK],사진=임형택 기자 T1의 원거리 딜러 ‘구마유시’ 이민형(21)은 데뷔 전부터 뛰어난 기량으로 관계자들... 향후 T1의 미래를 이끌어 갈 재목으로 점쳐졌다. 하지만 데뷔는 녹록치 않았다. 동료 유망주들이 1군 무대를 밟는...
T1 '전승 우승'[포토],"2일 오후 경기도 고양시 킨텍스 제1전시장에서 열린 '2022 리그 오브 레전드 챔피언스 코리아(LCK) 스프링' 결승전 T1과 젠지e스포츠의 경기, T1이 3:1의 세트 스코어로 승리하며 10회 우승과 더불어 사상 첫 전승..."
"2022 LCK 결승전, T1 전승으로 우승","진행하며, T1과 젠지가 맞대결을 펼쳤다. 또 이번 LCK 스프링은 총상금 4억 원 규모로 진행하며, 1위는 2억 원, 2위는 1억 원의 상금을 받는다. 아울러 진행된 경기 결과는 T1이 3:1 스코어로 승리, 이번 LCK 스프링..."
"전승불패 T1, 젠지 꺽고 LCK 통산 ‘V10’ 달성[SS킨텍스in]",T1 선수들이 LCK 스프링 결승에서 젠지를 3-1로 꺾고 우승을 차지한 후 트로피를 들어올리고 있다.  제공 | LCK 올해 스프링 스플릿 전승불패의 T1이 젠지를 세트스코어 3대1로 꺾고 2년 만에 ‘봄의 제왕’에 올랐다....
T1-페이커-V10-전승우승 [LCK],우승을 차지한 뒤 기뻐하는 T1 선수단. 중앙이 '페이커' 이상혁.   사진=임형택 기자 T1과 ‘페이커’ 이상혁이 ‘LoL 챔피언스 코리아(이하 LCK)’ 10회 우승이라는 금자탑을 쌓았다. T1은 2일 오후 5시 고양시 일산...
"美매체 “여전히 현역 페이커, 왕조 복원 노린다”",CS T1) 왕조를 다시 건설하려 한다”며 주목했다. 3일 미국 ‘게이밍 뉴스’는 “10주년 기념으로 공개한... 국내대회 정상에 복귀한 페이커는 리그오브레전드 첫 왕조였던 T1의 영광을 재현하려고 한다”고...
[사진] LCK 첫 V10 노리는 T1,2일 오후 경기도 고양시 일산 킨텍스 제 1전시관에서 ‘2022 LOL 챔피언스 코리아(이하 LCK)’ 스프링 T1과 젠지의 결승전이 열렸다. 선수들의 입실을 기다리고 있는 T1쪽 경기 부스.
"‘한국 최강’ T1, 이젠 MSI 정조준 [LCK]",우승 세리모니를 펼치는 T1 선수단.   사진=임형택 기자 전승 우승이라는 전인미답의 업적을 달성한 T1이 이제는 세계로 나간다. T1은 2일 오후 5시 경기도 고양시 일산 킨텍스에서 열린 ‘2022 LoL 챔피언스 코리아(LCK)...
[김민규의 e시각] 2년 만에 다시 만난 ‘T1 vs 젠지’ 왕좌 주인공은,T1 선수단 단체.  제공 | LCK T1과 젠지가 올해 ‘LoL 챔피언스 코리아(이하 LCK)’ 스프링 왕좌를 놓고 맞붙는다. 두 팀은 지난 2020년 LCK 스프링 결승에서 맞붙은 이후 2년 만에 다시 만났다. 2020년에는 T1이 젠지를...
경기 지켜보는 T1 팬들[포토],"2일 오후 경기도 고양시 킨텍스 제1전시장에서 열린 '2022 리그 오브 레전드 챔피언스 코리아(LCK) 스프링' 결승전 T1과 젠지e스포츠의 경기, 3,500석이 매진된 가운데 팬들이 경기를 지켜보고 있다."
LCK 우승 트로피 들어올리는 T1 선수들[포토],"2일 오후 경기도 고양시 킨텍스 제1전시장에서 열린 '2022 리그 오브 레전드 챔피언스 코리아(LCK) 스프링' 결승전 T1과 젠지e스포츠의 경기, T1이 3:1의 세트 스코어로 승리하며 10회 우승과 더불어 사상 첫 전승..."
